owner,bal0,tx_sent_count,wallet_age_days,ran,first_wd_hours,wd_win
0x638e9ad05dbd35b1c19df3a4eaa0642a3b90a2ad,39674317.400894,0,,0,,0
0x28a55c4b4f9615fde3cdaddf6cc01fcf2e38a6b0,25840644.844796,9875,938,1,21,25976379.959734
0xa2a0be8c7b9786d58cc1d3cdcfd27b351244281e,25000020,2,18,0,,0
0xbe44707d49cd8362788bd06f107a8dc47fa2ac09,20000000,2,18,0,,0
0xfc782b46682de0c0d668074d8a476ad4d5e45d0e,10000000,3,18,0,,0
0x78d7df2543b97cba737401e4c274f44103a1f416,5600000,4,18,0,,0
0xba5c4adc5331729e107fefd422753a294a5549c4,4300000,148,700,1,54,4315522.707791
0x6914fc70fac4cab20a8922e900c4ba57feecf8e1,4000000,2879,604,1,49,4004402.284861
0xa2dfaea03bf2140cab99e3de9f23f568c850b76a,3999945.265742,56,395,1,52,4019048.969009
0x58c30b3bd434b5acdbe51f6bc13032659064fe4b,3600000,224,894,1,47,3608606.57573
0xc397d4677d0fe3d5c55c017b6a1e2c5162f7de32,3000000,0,,1,43,3000703.052685
0x30485556753a449321d950cf8a4e7b6c1d3ce0aa,2803908.651151,35,888,0,,0
0x8d5a603ee20b437a872f55f2380ffc907ad241cd,2725000,0,,0,,0
0x135a5c5f76beaf0c98c9d90079341d3c1a1c8098,2223402.071814,8,250,0,,0
0x1f3659d89fc2d7eeed3699f5f23445f8e5e427d9,2178000,19,438,0,,0
0xe14dc1c13027b41c9f256bdf5524f5fa08cc3bb5,2010062.8421280012,369,267,1,20,2000604.2389770001
0x5deb8b6f0147be8e6128cbb9a58c2ccb506ff58b,1989746.4633140005,64,209,1,35,2000657.663491
0xdbc0e13881380a87569bb6e851e4ca0623f3fe14,1883694.1193090002,259,463,1,47,1897424.405921
0xb424e82115888d84767ad662e2bad5c8bc582a44,1473322.163,0,,0,,0
0x067306591dcdc297fd757596c408f17188e2dde0,1437858.0017069997,37,466,0,,0
0xc4dd8e820ff8794301c67a74f4cd024676356532,1420000,1302,2036,1,48,1423809.747151
0x889502cab866389d64063542d14edff744dea857,1365046.29853,60,349,0,,0
0x9a2642039e9b323e702eba1c2069a73fa602746d,1291312.9588049995,216,289,0,,0
0xebeb55e2894cf2e284f76956c3089cd8d1f90fe2,1264355.134875,13,176,0,,0
0xc42973b5496d6767ccfadd8612a3a12d4843a912,1211855.8178710002,191,965,0,,0
0x4855aecf5e4779156789e81f81591a4ac376e202,1199830.379281,76,1786,1,107,1801249.016134
0x061049747ca54631d0be813f1b9d2db4fcd8441c,1168744.631587,19,200,0,,0
0x404c37c74fc1303d96e0946985a16d2663303771,1094855,22,165,1,32,1816
0x700a3abd3239db7a35b3b914d35f43ca65a52314,1021145.886004,10,175,1,32,1030119.269347
0xd372d1f55763739405097448efeb1f39de316757,1004390.529103,4,107,1,58,1007147.678409
0x4a44bdc4b6b8b0ffbac1fa3d8814da59402d9978,1000236.982301,12,150,0,,0
0xda09241192800b94f13b469774b3469446aea827,1000236.312302,11,150,0,,0
0x814185bb33e787a638dfb27f551cf70333fb6412,1000000,917,1273,1,49,1005599.944715
0x4a979fb4f12e1a1da7fea06102ffe7b71f04fbba,1000000,9,513,1,44,1005251.505872
0xa8dd6149d4eeed24959a11b8566622d0eabeb31b,999943.992649,3,95,0,,0
0xaa86b857647d7e67aa0fb8ac527b5d9ad395a9ac,999783.496322,6,100,0,,0
0xebb2058169f12bbbb27891938a0b891e47b312b4,999752.817675,5,100,0,,0
0x99980d92ebf8ce7e8d9ded4c59391b6e22bd4a5d,980632.6838690001,19,178,1,44,1001910.94691
0xe64c85059f9560fd475cc4d3dde881334917d4eb,974748.11759,283,936,1,65,67800
0xc447d996d32f278b13c3740310cde694b1ba2d8d,795000,53,303,1,42,801347.378601
0xc5d72d1ae1e460a8804489326985345ca060db5b,770712.4358,21,100,1,48,774219.453595
0xb0b0f6f13a5158eb67724282f586a552e75b5728,768000.0005339999,1374,728,0,,0
0x5a600034fc97b13b01c7229e869071ca929ad896,750000,22,1169,1,51,751219.993323
0xd93495ceabc7a02ff39cf3097a33e25bca224b23,678289.3349179998,9,150,0,,0
0x9c85ecdae5b824567a143ca4f825d787f9bd6ffd,650000,9,223,0,,0
0x9a46c0932c1fca8e06874bb4f9e0f2fd276cfa5a,607663.495832,17,115,0,,0
0xa895f5e48e91bd314ab146bd235b4345f657f497,587000,29,392,1,51,588024.384506
0x4c6cbd6ec37f928d3ef6aa0fa8abfd9a92c61936,555763.296644,2,166,0,,0
0xe19f02b6446e7f855c03333772208bea613ee552,524980.221974,2,0,1,55,785066.155573
0x346100378e0c0edeaafecdd861e12b656eedddc0,500057.58533800003,5,51,1,56,501586.12923
0x9feef5f51fdb694374e3d7bb3a8330631d298bfa,500016.605325,1134,394,1,54,500662.162434
0x1d3add22363370b56a73888a84e6f8d64c55b26a,500000,6,24,1,15,500672.8547
0x3204f526a7ca628a3b2e8c272ff0e24f92511fc6,500000,658,709,0,,0
0x0cdf071dec3f9c652e25c847970a39af3e3c2e6f,500000,42,470,1,50,500587.914741
0x73a5dea042aeb13e9e9f81246281173f3ae3b0c3,498526.694147,21,376,0,,0
0xbc8dafeaca658ae0857c80d8aa6de4d487577c63,490040.10650500003,2441,1758,1,55,491921.397467
0x8c81ce5a6f4e1074b080979e31f667721b3b3e0b,489854.62,4,51,1,55,491407.997484
0x9b0c19000a8631c1f555bb365bde308384e4f2ff,471471.615305,3084,1392,1,46,476831.650019
0xfa0dce8280fcdf369a4cbfc1830d3302789307a6,434133.6621099999,275,819,1,126,219582
0x594fcf750721300618679303b78ad4ca8f0bd055,350000,9,64,1,114,1100000
0x479bb9de1055f7fa478e79b8034d6afae44ca9f4,332265.45388,16,116,0,,0
0xd929f314d29bcae2a6b04c170a062c8005673257,329691.748214,7,99,0,,0
0x01c8a4a164952e9ae6316ee55b3f0a46091a1d63,317780.941108,92,838,0,,0
0xa151776ef17740a435805e1367019518e16ce0dc,311687.410419,18,340,1,49,312708.400792
0xe027529a06292deff5a55a8d1c7f68d5efe8116e,298234.173232,39,261,1,43,300223.672309
0x03d4be4c2e099c5eb76c2ce926f0cd6ce1c188be,281237.961502,50,836,0,,0
0xe6a632ed648f1f86c7cd786c2e9d2d4113b6bd7a,263956.112272,396,955,0,,0
0xa931b486f661540c6d709ae6dfc8bcef347ea437,263000,215,174,1,57,263839.176016
0x023010bd0339f933fa4fcdd89fb53a4922b5ed63,254762.54542799992,472,840,0,,0
0x8a26ec0065cb68aac898d588d82f90d6bddc3577,250000,12,143,1,45,251839.804743
0xf07038d968b4a10fecb9142846f2c2d9df3a6ebb,230000,617,892,1,7,230327.013901
0xc4dac69b2b0984690450b933f5053fdda09965b5,221900.16667900002,105,765,1,98,223995.798554
0x13f0b3e3351ff54ba8daf733167436d46cba8623,218147.923568,149,885,0,,0
0x3592e6ecb531d742994762d1bc4c678e435926c7,203447.024759,25,742,0,,0
0x654fc3a347f55df6838d3c8731ed72bd274ff8a6,200000,7,69,0,,0
0x299455b3019d5a09c8a61c94cf32f464a0c92da6,200000,16,746,0,,0
0x9eca2af1fc96f7f1b25cc907e413b1cdf60f0953,199996.8,2,97,1,63,201026.733585
0x94d572eee1597351506ebf40a3e5a953f3a324f5,199996.45,2,39,0,,0
0x6640f1c6f59959b5dc85677465badf2b5f9141e8,199550,13,69,0,,0
0x6edfc4a634e57e8939049b8c914fbef1e425bd45,197681.61608100007,73,241,1,53,1500343.690369
0x4af7d85a133eceb3eb714d4f010ac2e2868365d4,177539.75146499998,294,620,1,91,10000
0xbd0eee2f4e76056e59256a9a9f4d1e4f0fc3fd2a,174000.000008,5,32,0,,0
0x227e93bc160fc34f1f31500dbf83619c6147aedb,168388.0938399993,417,235,0,,0
0x846bcc1354aff98f128809077d706bf234241194,166545.56652800002,60,218,1,49,167399.286747
0xf7257a5691dbb58c0abed56602ed571474984a1a,161256.170822,22,298,1,48,162184.739904
0x256bbb6c87772071caae1c615f37735150ba8245,151150.684541,13,39,1,79,151529.160315
0x44157fc26c845a0bdd1f233ccb1f1f46eb99bcbd,150006.217056,24,306,1,55,150221.19602
0x25f2f439fc9d71cc8e497860085f98e29ce47b5e,148491.235699,47,931,1,67,150054.186984
0x582f09e431d249a986269a201ca5087dfe5a4efa,144376.976843,0,,1,59,154960.351
0xf5f58593d022494a1e724babb87906535ffa6e44,141700.995605,15,123,0,,0
0x4a0880e040837b1c2b3f3589f3570c3b20dce271,140000,3,116,1,49,140659.704011
0xa5f85b7bb0e3ff419cf0c6a852accd49265c5e45,124642.567767,139,755,1,54,125549.102313
0x72bcde018f36d8143710e5998587e3c946739c1f,119000,17,182,0,,0
0x74f3be2367374206f514100c0c8933dd5d363ccc,110000,26,488,1,90,110596.484237
0x1dc30adbb46b60dab0f321662c6565f3db044588,100000,2,12,0,,0
0xdba26a609737440456a54c2eeb6feffc4399d986,100000,24,406,0,,0
0x3495d06f7385ee5c42f0b755b12f67cf5f73708f,99599.62540000002,157,994,1,57,100023.416493
0x512bfd4cce8c551cdda756a1da801f0644356045,99585.99090700001,8,162,1,36,99934.131025
0x2fad813992ed920cad548f34dfa147e1b7a59198,95000,140,462,0,,0
0x20e6a22a14ae89964ab72b57d5f5ad9b601387ea,86672.864997,75,822,1,92,87521.427113
0x169ee44a13025bc455abde04b0725bbe84bc7a2a,80500,477,412,0,,0
0x46d13d72db5d05bd2671312e321867ab8b30d9f6,80000,13,30,1,57,80142.060142
0xf87664818adeaf179f82b7a9c6ba4520d7ded499,75162.777932,12,115,0,,0
0xdfd303f669ae1e263ce7d92ae2ac7f6e67b5dd06,71279,5,252,0,,0
0x83b4550c9c53e0230b9d03b884f1ee43733c883f,70000,29,291,1,50,70241.675856
0xa2b6590a6dc916fe317dcab169a18a5b87a5c3d5,65001,0,,0,,0
0xabbbb02372046208afc4b0cfe0dbcdc5a5c6b4ee,60000,71,398,1,61,60204.53433
0x40e98c55bada2986f58b8f02d4012ccda38010f0,59953.420622,12,81,0,,0
0x1a76ef3fc04af5012e608f0570e8666428cf6469,54272.967534,20,1314,0,,0
0x32c9d68bc8c2fdfda26de4e88b3e92091b642859,53659.23855,40,374,1,46,53764.236989
0x8e8192b98a4b1179cd1b5a18536a29d4844a928b,53218.17512,3,208,0,,0
0x7c44eef01a58ffc91f344e20583fe647533fbe04,50339.047444,710,642,0,,0
0x64634403043b1ab21e57bd1f13451ae004a7ac3a,50000,24,97,0,,0
0xdde0adb3b2c5320ff3e6e88efb654e6d7b6aeb01,50000,23,798,1,86,50486.129352
0x2fdaad1da99085f76eb841690857ab51768037bf,50000,26,285,1,58,50422.882888
0x06cdacdc4697912f3a7b752bf8b504b39b9bccdf,50000,8,250,1,68,50119.301318
0xc9621d15737a1fb2202dd989230f7c83a6d37354,50000,71,685,0,,0
0xf7377f2f9d2f8e096d3ea86331b88047331e495f,49499.997952,34,85,1,36,49589.803855
0x0dd46d3cab80d4eec9298fbae9cc6c27edd969c0,48280.952441,0,,0,,0
0x4303c46c71f6e48eaa96ab3f194b79fac082e46a,44848.79129300001,924,2363,1,45,45049.726485
0x3688b712bb6659d64740d55c5b000711e484c4be,44763.377968999994,1002,976,1,55,44874.489441
0x5d06d5bc72faf557939f48377cb774aa097edd91,42372.196918,0,,1,22,5698.564106
0xd8800c9d2e6dbea04735eb295f343ce3c1a76211,40500,13,109,1,37,500
0x0fb94e38e7a34b9e522e753803027ecdc0ef4a02,40000,6,176,0,,0
0x1e7e07e306d8b9e8fde77609744974b66f76f76d,36000,14,148,1,79,36244.596455
0x8f157b9a0cc30c4d5d677984ca778b3ac08896c4,35340.584082,0,,0,,0
0x8ebab0129ffea1145a505d8d6d5d046770dd97e6,35318.482486,3223,1285,0,,0
0x03f1c2cdc2646b4ced7bcf2c4a9824741eb66958,34112.300623999996,279,462,1,62,34165.09609
0x54e35a069ff7916d594c4b7fd404bd7688f589da,34079.739224,1167,640,0,,0
0x1198e9f01a9ef948de6685e074cb61e8c7808784,31964.674309,43,751,0,,0
0x0aa512dd21e10a2fc03cc49f68a6e0ac41fedea9,30791.982097,4,113,0,,0
0xabea0e3e392bac621054303ef195fa54c5b5ca9e,30000,40,399,1,49,30310.316956
0xb1cf4f02e01cf24c4099e82b16c8ede76b52ffb6,29623.79999999999,85,579,0,,0
0xbc8ec3182e5243681a848d2a0fbf10df8ebfe230,29500,197,715,0,,0
0x27cb78b27388083ccb95e214af0e662db08072d0,29395.491513,355,305,1,49,29499.067435
0x91feaeaf87894f951691d32cd469fbd0c2e6f320,27027.390415,42,1768,0,,0
0x829899183ffbe9d71895699ad847f99df12831c1,27000,17,84,0,,0
0xa343749f058b91e713165848dc4eacf994a10177,26403.107516,16,786,0,,0
0x9383972d18b3356b06ef839ff8e4ee4532ef9041,25676.307211,20,363,0,,0
0xd5ff53724c6b8fe007693dcdf1ea454f155cd476,25000,139,818,1,96,25045.605331
0x70a8bd5d01f7a8b99aed8312bd4a8302e6e2fc89,24141.559488,20,69,0,,0
0x59729c1ec6b7b2297f4d2e8aa086c2abffa75037,23791.894873999998,8,67,1,111,23843.596919
0x98cd6cf577e18ba8a3ab56ccbda552e7796555cd,23700.445795,206,978,1,72,23956.798202
0x574053576d2493cb3aa3a482e6e16ea7bb41c6f8,22204,0,,0,,0
0xd244ccda0d873d5b00273f0121ac25d9e80e547a,20000,11,225,0,,0
0x959817a28f6389398562c281093263c15433f04c,20000,0,,1,50,20049.445542
0xecc8ac967d7e62b4fdd2aaaec00b8ff888eb2531,20000,9,170,0,,0
0xf233ccb7960aaf379d19189ab403b1b4ab8bfcc1,19177.932267,146,689,0,,0
0x778ab07337b5f5914042c77f76e998218d4365b2,19144.210868,497,1561,0,,0
0x34fa64e275a2c4a64ccb97701bcdcef8a3e91d60,18088.270146,8,152,1,46,18095.291291
0xa3f1005a922b8f4a8a2a8c3fb881c3c5bbabcdc0,16774.361539000005,58,252,0,,0
0x3f8fa6b9d3aa760ade4ced2282af9fead8615355,16507.750552,4,262,0,,0
0x78aad5dcb0852a2632ec4fc2e1fbeaf9cdf9282a,16000,37,116,1,49,16053.518078
0xdf3b5d3f34df81a4416f1908f6ae1d48b8a8e7ae,15757.211173,9,116,0,,0
0xaae79649901dc0e4a965646f3fa73d8e1b83d4fc,15610.957094,4,266,0,,0
0x0942e68b2e0388f841a6510e3b78a79b60128d90,15006.191773999948,63,348,1,120,3500000
0x195f7660f712654eb67a89e5cdd18e8b95bf1fc6,15000,57,1902,0,,0
0xdd1a45cf294268a286522a93a3b3e26952dbb195,14026.842196,2,23,1,55,14046.579352
0x3007cee9a49793ae53ff8158e362cc0a2073365a,14000,3,25,0,,0
0x6bd263a8ce79750c4f5a4b428dba69f698a0a897,14000,27,171,0,,0
0xf6b40d0dad0d2b28fe7fdc125cb0b5ea92c22da7,13818.06716,0,,0,,0
0xc85ddea578afaf813d39893ae87ddc366db39ef1,12544.054301,20,114,1,112,12569.429904
0xb4f19729014a94732e965ab197a6a7255f190faa,11650.23881,84,903,0,,0
0x15578446b17c0e3a6dbb4d07d990f3bbd1180e95,11500,120,685,0,,0
0x4459b0e57bb7577a164bb5d38680a6edcdee79f4,11200,13,221,1,142,11271.016895
0x90478b3be576ddaec4897817648e3c3d13f39ee0,11000,57,436,1,23,11022.693656
0xf5f0cfaecae5ac5ce5c7379dc9c54a7fd9cee2c8,10300,0,,0,,0
0x76448fa2fae2f80ae88309876d088e7f01323db6,10080.111965,6,107,0,,0
0x3073ac44aa1b95f2fe71bb2eb36b9ce27892f8ee,10027.825669,410,1558,0,,0
0x7d96a6f41fd31c7624f7069415be58b5e3576d34,10000,2086,783,1,51,10108.274233
0x3dc27165f9329afe2d0eb89dd8ed70fcb7473472,10000,366,512,0,,0
0x000e340b4640316d90d611cf0fb9eda6ba93c087,10000,34,469,0,,0
0xb4a35ae53d4d032c5ac113641254c30cb50ddf08,10000,15,33,0,,0
0x58869d7418a0198bd4dac3f3cea9912a1cd09f8f,9968.728886,21,513,0,,0
0x11b50686d3983c14c0d0972a5e46e38e0d9b2e14,9731.131198003888,2841,698,0,,0
0x51187222b8ae99c08f19a1298e5c2ffead0f6cf7,9165.432954,17,997,1,50,9182.250675
0x49ae763ed846db9a69a639732caa320fad1d5799,9042.937794998288,112,415,0,,0
0xb6446ea1e4a1a85fb30496b82eaf8fbad3de7104,9009.32249,40,837,1,79,9035.685842
0xe055301d25e254a1aa014ba8a0ee607389a350d1,8953.913956000004,0,,0,,0
0x3175f8cb88149021e66ac301626f2447f881a6ed,8530.115965,17,300,1,59,8537.364999
0xaed6b31aa3a14b97c8216e3955539fb43c8763b8,8126.727921,35,651,0,,0
0xb81a0e6c38c3fec8a171cfe9631f60127a0c5bfd,8016.480971999932,2690,731,0,,0
0xc6f324f6cfefafbf96c8072463521940b85dcff4,7770,17,607,1,54,7780.767702
0xabb9ac1f97fb9b40a538b41f7f5e3681d4495be5,7305.926222,167,784,0,,0
0xbe7d51b6e11c68b91e2a16e9bdb456180b79171a,7240.609698,29,521,1,46,7257.076975
0xb9f95f11bba01ab375cd2f9b460adc8291af624a,6985.757482,9,228,0,,0
0xcf1347dad4dd90fa73448d191950639c657ff0e2,6541.444677000167,32,473,0,,0
0x51981031399ec301d800aeb7a3f212f07e27ba46,6358.107701,39,659,0,,0
0xf13d87279e272639d32d1b4edee9a71aad15868f,6134.693981,105,1918,0,,0
0x5739cee517442cfcf017eb0ba06ed5bd136155df,6000.000005,1000,592,1,54,6011.185645
0xa39b674e6a89c39d3a8cc01d21e0e16e2dd7238d,5031.75,15,286,0,,0
0xa7a62d5fc2fb13aa2e4f66344686654dbc94fb93,5000,13,212,0,,0
0x61fd0d043d519f5a2bd05785000f30db96809429,5000,18998,819,0,,0
0x6df1e6dc8f9a2f4c25e5d85561e1ee675cd4f885,5000,50,817,0,,0
0x4373380e0c97f61658d763fd2c322d19844f49b4,4940.510885,10,178,0,,0
0x459365ff23f2d51421c3c84057d7b187c3295811,4915.756353,144,1298,0,,0
0x1d787485f43f7720ebf97e2a9bb0f735fe4c404a,4892.779592,27,520,1,53,4906.416512
0x8831c5017b1caf6714aedbdcf2b7363f1ae8b188,4890,22,23,1,44,4896.329331
0x15beb9b52e5bbc45547902a032fd19ee52167282,4709.434489999898,365,654,0,,0
0xa3ba242f405fc8e93a00d50af162f723d7328631,4534.631505000172,0,,1,49,176711.529815
0x91384e96e280797f9cbe28dff2c01e87f972ec4f,4453.181,10,802,0,,0
0x48d6aaefc242078ff5f5fea63e71b98dd5068818,4435.436241,97,1872,0,,0
0xc945552e5e0be5546df0b64ce7ba98af009e0cf9,4200,4,125,0,,0
0x480f72d402a1810a54ba6ca29a43fadb9df994b4,4000,6,386,0,,0
0xfebeea78cd06b1a62fb1d5374d8515678c64d163,3984,86,660,0,,0
0x3cbc3bed185b837d79ba18d36a3859ecbcfc3dc8,3854.3025030000135,979,453,0,,0
0xff32e57ceed15c2e07e03984bba66c220c06b13a,3822.096556,132,766,0,,0
0x4c3bcff150f05246234372f1f407e1386801a7d5,3450.90614700038,27,173,0,,0
0xdb2cfa0793a6062440bd7d6c1dfb45cd6da2f449,3322.28082,30,271,0,,0
0x88b7a44cecd526cd2d424b0a4cc2bbb26341dd8f,3137.8192659998313,5166,2107,0,,0
0xbe81ad8fd494a11ecd2fe25f2d52d731a8cbd7ee,3000,30,538,0,,0
0x7904ca17b51b1aded2a5fdd8271711dc3e92e1fb,2996.883125,29,713,0,,0
0x3f3429d28438cc14133966820b8a9ea61cf1d4f0,2823.5473349997774,683,218,0,,0
0xad5174a9e0888030be4e8b4a7be8abf9fa842cb5,2500,7,111,0,,0
0x63395d2788304f74a8ba80d21ea1697bb4d51671,2499,75,1652,0,,0
0x606420fc17e08ce7d85a5068cede5542c0e47128,2476.760654,222,1378,0,,0
0x37ac1797d4e41f92cc80a43e57ad19478ac544c4,2425.958354,15,153,1,55,2445.238251
0xf6da9e9d73d7893223578d32a95d6d7de5522767,2133.982635000255,306,196,0,,0
0x7eb12f04effc4901d7520e4ebd62de512743feca,2020,710,721,0,,0
0x9d7711db9cdeacb073d689e79c50c648820ac650,2012.5245900000002,532,742,0,,0
0xe2e18ec8d04f625c42840af0a064708347b69673,2006,16,763,0,,0
0x7c4612d66a6510f6f9d9bd361dddb25c45486c56,2000.628296,50,462,0,,0
0x4df60c6f409c88423c1912bcea5309dafaaf96cd,2000.000462,102,912,0,,0
0x20707d089053ac5136a2fa5ca259d057509e19bc,2000,3,70,0,,0
0xd50c46607b8c6aaa03c4cd2506e79a5df2b699bf,2000,249,1741,0,,0
0xca12f1ecc57d00edd0fc190e71bf2ccdb1b493bf,1998.603658,6,69,0,,0
0x75239990776877d0000115b8306961160b3f2d3d,1940.953986,7,113,0,,0
0xedb8d6fed30d2a4db3bbdbecf578609fde491a79,1761.438241,193,410,0,,0
